Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 10:16:26.925,-0.92,7.03,6.38,0.04,-,-0.01,-0.02,0.09,-,13.92,1,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:27.924,-1.14,7.35,6.2,0.05,-,0.01,-0.02,0.1,-,13.92,1,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:28.923,-0.8,6.84,6.6,0.04,-,0.01,-0.05,0.11,-,13.92,1,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:29.924,-0.79,6.74,6.77,0.04,-,0.01,-0.06,0.13,-,13.92,1,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:30.927,-1.07,6.96,6.61,0.05,-,-0.02,-0.04,0.12,-,13.92,1,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:31.923,-0.92,7.07,6.6,0.04,-,-0,-0.02,0.11,-,13.92,0,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:32.925,-0.98,6.89,6.45,0.03,-,-0.01,-0.04,0.09,-,13.92,0,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:33.926,-1.11,7.08,6.43,0.04,-,0,-0.03,0.11,-,13.92,0,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:34.923,-1.02,6.78,6.62,0.04,-,0,-0.06,0.1,-,13.92,0,1,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:35.923,-1.04,6.88,6.75,0.04,-,-0,-0.08,0.12,-,13.92,0,0,-,1275,0,98.04,1309.46,61.25,33.04,-116.88,-,0,0,-
09-Jun-2018 10:16:36.922,-0.82,6.78,6.41,0.02,-,0.01,-0.05,0.12,-,13.92,0,0,-,1275,0,98.04,1309.16,227.78,33.04,-116.88,-,1.98,0,-
09-Jun-2018 10:16:37.927,-1.23,6.92,6.59,0.05,-,0.02,-0.03,0.06,-,13.92,0,0,-,1275,0,98.04,1308.61,234.74,33.04,-116.88,-,2.52,0,-
