Device Time, Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
24-May-2018 06:34:52.453,-0.02245327,0.11421879,0.88501507,-,14.06866074,125.59999847,750,0.00682694,88.23529053,73.40000153,0
24-May-2018 06:34:53.451,-0.02245327,0.12593354,0.8654905,-,14.06866074,125.59999847,750,0.00631907,88.23529053,73.40000153,0
24-May-2018 06:34:54.451,-0.03416802,0.1073852,0.87427658,-,14.06866074,127.40000153,750,0.00631907,87.84313965,73.40000153,0
24-May-2018 06:34:55.451,-0.00097623,0.11617125,0.88696754,-,14.06866074,127.40000153,725,0.00582482,87.84313965,73.40000153,0
24-May-2018 06:34:56.451,-0.01757212,0.0976229,0.87818146,-,14.06866074,127.40000153,725,0.00579132,87.84313965,73.40000153,0
24-May-2018 06:34:57.451,-0.00292869,0.11421879,0.8986823,-,14.06866074,127.40000153,725,0.00579132,87.84313965,73.40000153,0
24-May-2018 06:34:58.451,-0.0302631,0.1181237,0.86451429,-,14.06866074,127.40000153,700,0.00567737,87.84313965,73.40000153,0
24-May-2018 06:34:59.451,-0.04588277,0.11324256,0.8713479,-,14.06866074,127.40000153,700,0.00567737,87.45098114,73.40000153,0
24-May-2018 06:35:00.450,-0.04490653,0.11519502,0.86353809,-,14.06866074,127.40000153,700,0.00554797,87.45098114,73.40000153,0
24-May-2018 06:35:01.451,-0.03221555,0.1044565,0.88013393,-,14.06866074,127.40000153,700,0.00542236,87.45098114,73.40000153,0
24-May-2018 06:35:02.452,-0.01269098,0.11031388,0.88989621,-,14.06866074,127.40000153,700,0.00542236,87.45098114,75.19999695,0
24-May-2018 06:35:03.451,-0.02635818,0.12398108,0.87720525,-,14.06866074,129.19999695,675,0.00509164,87.45098114,75.19999695,0
24-May-2018 06:35:04.452,-0.00780983,0.1044565,0.88013393,-,14.06866074,129.19999695,675,0.00509164,87.45098114,75.19999695,0
24-May-2018 06:35:05.450,-0.01073852,0.11031388,0.8820864,-,14.06866074,129.19999695,675,0.00510698,87.45098114,75.19999695,0
24-May-2018 06:35:06.454,-0.01366721,0.10543273,0.89770603,-,14.06866074,129.19999695,675,0.00505457,87.45098114,75.19999695,0
24-May-2018 06:35:07.451,-0.01952458,0.11031388,0.89282489,-,14.06866074,129.19999695,675,0.00505457,87.45098114,75.19999695,0
24-May-2018 06:35:08.451,-0.01171475,0.11421879,0.89770603,-,14.06866074,129.19999695,662.5,0.00517516,87.45098114,75.19999695,0
24-May-2018 06:35:09.450,-0.02050081,0.12007617,0.88989621,-,14.06866074,129.19999695,662.5,0.00516897,87.05882263,75.19999695,0
24-May-2018 06:35:10.451,-0.01854835,0.11617125,0.89477736,-,14.06866074,129.19999695,662.5,0.00516897,87.05882263,75.19999695,0
24-May-2018 06:35:11.451,-0.02831064,0.12007617,0.86744297,-,14.06866074,129.19999695,675,0.00518518,87.05882263,75.19999695,0
24-May-2018 06:35:12.452,-0.02635818,0.12202863,0.86060935,-,14.06866074,129.19999695,675,0.00510416,87.05882263,75.19999695,0
24-May-2018 06:35:13.450,-0.02831064,0.127886,0.8713479,-,14.06866074,129.19999695,662.5,0.00510416,87.05882263,75.19999695,0
24-May-2018 06:35:14.451,-0.01464343,0.1044565,0.89282489,-,14.06866074,129.19999695,675,0.00502344,86.66666412,75.19999695,0
24-May-2018 06:35:15.451,-0.02050081,0.11031388,0.8986823,-,14.06866074,129.19999695,675,0.00502344,86.66666412,75.19999695,0
24-May-2018 06:35:16.451,-0.02050081,0.10933765,0.8996585,-,14.06866074,129.19999695,675,0.00497728,86.66666412,75.19999695,0
24-May-2018 06:35:17.450,-0.02440573,0.12007617,0.87720525,-,14.06866074,129.19999695,675,0.00508081,86.66666412,75.19999695,0
24-May-2018 06:35:18.451,-0.02050081,0.1181237,0.88111019,-,14.06866074,129.19999695,675,0.00508081,86.66666412,75.19999695,0
24-May-2018 06:35:19.453,-0.02147704,0.12300485,0.87232411,-,14.06866074,129.19999695,662.5,0.00497453,86.66666412,75.19999695,0
24-May-2018 06:35:20.454,-0.01366721,0.10836142,0.89184868,-,14.06866074,131,662.5,0.00503934,86.66666412,75.19999695,0
24-May-2018 06:35:21.451,-0.01269098,0.09957536,0.88111019,-,14.06866074,131,650,0.00503934,86.66666412,75.19999695,0
24-May-2018 06:35:22.451,-0.02050081,0.11519502,0.88501507,-,14.06866074,131,650,0.00500971,86.66666412,75.19999695,0
24-May-2018 06:35:23.452,-0.01171475,0.09859913,0.88501507,-,14.06866074,131,650,0.00493605,86.66666412,75.19999695,0
24-May-2018 06:35:24.451,-0.02245327,0.12495731,0.86841917,-,14.06866074,131,662.5,0.00493605,86.66666412,75.19999695,0
24-May-2018 06:35:25.451,-0.01366721,0.10836142,0.89380115,-,14.06866074,131,650,0.00505213,86.27451324,75.19999695,0
24-May-2018 06:35:26.451,-0.02147704,0.11324256,0.87525278,-,14.06866074,131,650,0.00505213,86.27451324,75.19999695,0
24-May-2018 06:35:27.450,-0.02147704,0.127886,0.86939543,-,14.06866074,131,662.5,0.00491576,86.27451324,75.19999695,0
24-May-2018 06:35:28.451,-0.01464343,0.10250404,0.88794374,-,14.06866074,131,662.5,0.00491576,86.27451324,75.19999695,0
24-May-2018 06:35:29.451,-0.02635818,0.11617125,0.86939543,-,14.06866074,131,662.5,0.00505555,86.27451324,75.19999695,0
24-May-2018 06:35:30.451,-0.02245327,0.12202863,0.87915772,-,14.06866074,131,662.5,0.00493605,86.27451324,75.19999695,0
24-May-2018 06:35:31.451,-0.02050081,0.11909994,0.88989621,-,14.06866074,131,662.5,0.00493605,86.27451324,75.19999695,0
24-May-2018 06:35:32.452,-0.01952458,0.10543273,0.89282489,-,14.06866074,131,662.5,0.00509077,86.27451324,75.19999695,0
24-May-2018 06:35:33.451,-0.02733441,0.11909994,0.86939543,-,14.06866074,131,662.5,0.00509077,86.27451324,75.19999695,0
24-May-2018 06:35:34.450,-0.02050081,0.11519502,0.88696754,-,14.06866074,131,662.5,0.00494212,86.27451324,75.19999695,0
24-May-2018 06:35:35.450,-0.01073852,0.10250404,0.88892001,-,14.06866074,131,650,0.00502592,85.88235474,75.19999695,0
24-May-2018 06:35:36.451,-0.02440573,0.11714748,0.86158562,-,14.06866074,131,650,0.00502592,85.88235474,75.19999695,0
24-May-2018 06:35:37.450,-0.02050081,0.1044565,0.88599128,-,14.06866074,131,650,0.00506832,85.88235474,75.19999695,0
24-May-2018 06:35:38.450,-0.02440573,0.11324256,0.87330031,-,14.06866074,131,650,0.00506832,85.88235474,75.19999695,0
24-May-2018 06:35:39.452,-0.01854835,0.11519502,0.89087242,-,14.06866074,131,650,0.00506832,85.88235474,75.19999695,0
24-May-2018 06:35:40.451,-0.01171475,0.10640897,0.87622905,-,14.06866074,131,650,0.00490023,85.88235474,75.19999695,0
24-May-2018 06:35:41.450,-0.02440573,0.11226633,0.87037164,-,14.06866074,131,650,0.00488331,85.88235474,75.19999695,0
24-May-2018 06:35:42.450,-0.01757212,0.11617125,0.88892001,-,14.06866074,131,650,0.00488331,85.88235474,75.19999695,0
24-May-2018 06:35:43.450,-0.0068336,0.1044565,0.88599128,-,14.06866074,131,650,0.00481249,85.88235474,75.19999695,0
24-May-2018 06:35:44.450,-0.02147704,0.11714748,0.85963315,-,14.06866074,131,650,0.00481249,85.88235474,75.19999695,0
24-May-2018 06:35:45.449,-0.02050081,0.11617125,0.89770603,-,14.06866074,132.80000305,650,0.00502314,85.88235474,75.19999695,0
24-May-2018 06:35:46.450,-0.02147704,0.11031388,0.89282489,-,14.06866074,132.80000305,650,0.00500355,85.49019623,75.19999695,0
24-May-2018 06:35:47.450,-0.02635818,0.12495731,0.86451429,-,14.06866074,132.80000305,650,0.00500355,85.49019623,75.19999695,0
24-May-2018 06:35:48.455,-0.02147704,0.11031388,0.88892001,-,14.06866074,132.80000305,662.5,0.00493878,85.49019623,75.19999695,0
24-May-2018 06:35:49.450,-0.02440573,0.1112901,0.88013393,-,14.06866074,132.80000305,662.5,0.00487731,85.49019623,75.19999695,0
24-May-2018 06:35:50.451,-0.01952458,0.11324256,0.90161097,-,14.06866074,132.80000305,650,0.00487731,85.49019623,75.19999695,0
24-May-2018 06:35:51.452,-0.01854835,0.1073852,0.88696754,-,14.06866074,132.80000305,650,0.00496443,85.49019623,75.19999695,0
24-May-2018 06:35:52.450,-0.01073852,0.10250404,0.88111019,-,14.06866074,132.80000305,650,0.0049064,85.49019623,75.19999695,0
24-May-2018 06:35:53.450,-0.02245327,0.1181237,0.87232411,-,14.06866074,132.80000305,650,0.0049064,85.49019623,75.19999695,0
24-May-2018 06:35:54.450,-0.01171475,0.10250404,0.88696754,-,14.06866074,132.80000305,650,0.00493257,85.49019623,75.19999695,0
24-May-2018 06:35:55.450,-0.02928687,0.12007617,0.86060935,-,14.06866074,132.80000305,650,0.00493257,85.49019623,75.19999695,0
