Device Time, G(x), G(y), G(z), G(calibrated), AC,Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
07-Jun-2018 18:21:56.748,-0.72,8.31,6.84,0.04,0,-0.16,0.72,0.42,-,13.92,0,1,194,1237.5,0.01,23.53,-,-,-,-,87.8,16.16
07-Jun-2018 18:21:57.744,-0.82,7.54,4.66,-0.06,0,-0.02,0.72,0.5,-,13.92,0,0,194,1237.5,0.01,23.53,-,-,-,-,87.8,16.16
07-Jun-2018 18:21:58.745,-1.33,7.87,6.7,0.04,0,-0.07,0.9,0.48,-,13.92,0,0,194,1237.5,0.01,23.53,1379.18,147.29,33.04,-116.87,87.8,16.16
07-Jun-2018 18:21:59.748,-0.8,6.74,3.75,-0.18,0,-0.11,0.85,0.4,-,13.92,0,0,194,1237.5,0.01,23.53,1365.84,147.14,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:00.744,-0.82,6.15,3.93,0.04,0,0.06,0.8,0.5,-,13.92,0,0,194,1237.5,0.01,23.53,1355.81,146.99,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:01.745,-1.11,8.22,5.93,0.07,0,-0.11,0.84,0.5,-,13.92,0,0,194,1237.5,0.01,23.53,1350,147.19,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:02.748,-1.49,7.98,6.72,0.05,0,-0.15,0.81,0.59,-,13.92,0,0,194,1237.5,0.01,23.53,1340.89,147.28,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:03.745,-0.71,7.95,6.52,0.08,0,-0.07,0.81,0.56,-,13.92,0,0,194,1237.5,0.01,23.53,1332.19,147.22,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:04.744,-1.78,7.94,6.67,-0.01,0,-0.15,0.7,0.48,-,13.92,0,0,194,1237.5,0.01,23.53,1322.69,146.25,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:05.744,-1.31,7.22,6.38,0,0,-0.12,0.79,0.69,-,13.92,0,0,194,1237.5,0.01,23.53,1316.56,146.58,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:06.748,-0.4,6.22,5.77,-0.1,0,-0,0.65,0.58,-,13.92,0,1,194,1237.5,0.01,23.53,1301.82,147.02,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:07.744,-0.81,7.27,6.21,0.07,0,-0.25,0.76,0.61,-,13.92,0,1,194,1237.5,0.01,23.53,1296.78,147.35,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:08.747,-0.91,6.56,6.2,-0.04,0,-0.17,0.75,0.48,-,13.92,0,1,194,1237.5,0.01,23.53,1294.7,146.7,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:09.747,-1.13,7.22,5.47,0.07,0,-0.12,0.74,0.46,-,13.92,0,1,194,1237.5,0.01,23.53,1295.93,146.42,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:10.750,-1.25,7.35,5.81,-0,0,-0.13,0.75,0.49,-,13.92,0,0,194,1237.5,0.01,23.53,1340.18,146.38,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:11.746,-1.51,7.49,5.91,0.02,0,-0.15,0.76,0.5,-,13.92,0,0,194,1237.5,0.01,23.53,1332.13,146.7,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:12.747,-0.53,7.03,7.23,-0.05,0,-0.05,0.72,0.64,-,13.92,0,0,194,1237.5,0.01,23.53,1325.83,146.56,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:13.747,-0.57,7.57,6.92,0.08,0,-0.16,0.84,0.59,-,13.92,0,0,194,1237.5,0.01,23.53,1320.19,146.89,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:14.746,-1.65,7.35,5.73,0.01,0,-0.07,0.74,0.55,-,13.92,0,0,194,1237.5,0.01,23.53,1316.54,146.82,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:15.744,-1.33,7.29,7.94,0.07,0,-0.04,0.71,0.61,-,13.92,0,0,194,1237.5,0.01,23.53,1315.67,147,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:16.752,-1.21,7.03,4.49,-0.11,0,-0.07,0.6,0.54,-,13.92,0,0,194,1237.5,0.01,23.53,1319.62,146.97,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:17.745,-1.42,7.58,7.04,0.1,0,-0.09,0.68,0.46,-,13.92,0,0,194,1237.5,0.01,23.53,1322.08,147.05,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:18.746,-1.14,6.85,5.42,-0.02,0,-0.03,0.71,0.68,-,13.92,0,1,194,1237.5,0.01,23.53,1316.89,146.64,33.04,-116.87,87.8,16.16
07-Jun-2018 18:22:19.746,-1.33,7.93,5.68,-0.04,0,-0.14,0.81,0.48,-,13.92,0,1,194,1237.5,0.01,23.53,1313.15,146.31,33.04,-116.87,87.8,16.16
