GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
-,21-May-2018 12:49:11.896,-,-,-,-,-,-,-2.99754047,4.66390514,7.84340477,-0.00189584,
-,21-May-2018 12:49:12.895,-,-,-,-,-,-,-2.26970315,4.8362875,8.63827991,0.00939786,
-,21-May-2018 12:49:13.894,-,-,-,-,-,-,-1.33117616,4.18506479,8.56166553,-0.0001322,
-,21-May-2018 12:49:14.895,-,-,-,-,-,-,-1.69509482,4.40533113,8.14028549,-0.01033169,
-,21-May-2018 12:49:15.895,-,-,-,-,-,-,-2.66235232,5.04697704,7.40287161,0.01386826,
