Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 14:01:41.063,-0.92,8.15,5.05,0.01,-,-0.06,-0.02,0.03,-,13.92,-,-,-,700,0,88.24,1334.78,177.48,33.04,-116.87,-,0,0,-
09-Jun-2018 14:01:42.056,-1.11,8,5.72,0.01,-,-0.08,-0.03,0.1,-,13.92,1,1,-,700,0,88.24,1334.78,177.48,33.04,-116.87,-,0,0,-
09-Jun-2018 14:01:43.056,-1.03,8.16,5.09,0,-,-0.02,-0.02,0.03,-,13.92,1,1,-,700,0,88.24,1334.78,177.48,33.04,-116.87,-,0,0,-
09-Jun-2018 14:01:44.057,-1.03,7.86,5.46,0,-,-0.01,-0.05,0.07,-,13.92,0,1,-,700,0,88.24,1334.78,177.48,33.04,-116.87,-,0,0,-
09-Jun-2018 14:01:45.056,-0.99,7.84,5.48,-0,-,-0.03,-0.05,0.06,-,13.92,0,1,-,700,0,88.24,1334.78,177.48,33.04,-116.87,-,0,0,-
09-Jun-2018 14:01:46.057,-1.27,7.81,5.42,-0.01,-,-0.02,-0.05,0.06,-,13.92,0,1,-,700,0,88.24,1334.3,13.51,33.04,-116.87,-,1.81,0,-
09-Jun-2018 14:01:47.056,-0.73,8.03,5.48,0.01,-,-0.02,-0.03,0.05,-,13.92,0,1,-,700,0,88.24,1333.82,15.26,33.04,-116.87,-,2.84,0,-
09-Jun-2018 14:01:48.056,-1.02,7.73,5.43,-0,-,-0.03,-0.02,0.09,-,13.92,0,1,-,700,0,88.24,1333.57,11.75,33.04,-116.87,-,3.64,0,-
09-Jun-2018 14:01:49.057,-1.81,7.81,5.38,0,-,-0.1,-0.05,0.06,-,13.92,1,1,-,700,0,88.24,1332.74,13.59,33.04,-116.87,-,4.4,0,-
09-Jun-2018 14:01:50.056,-1.6,7.76,5.41,-0,-,-0.07,-0.06,0.06,-,13.92,1,1,-,700,0,88.24,1326.71,27,33.04,-116.87,-,4.11,0,-
09-Jun-2018 14:01:51.057,-1.58,8.28,5.11,0.01,-,-0.07,-0,0.03,-,13.92,1,1,-,700,0,88.24,1326.4,36.59,33.04,-116.87,-,4.03,0,-
