Device Time, Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
23-May-2018 20:24:31.558,13.92362309,127.40000153,975,0.0067421,88.23529053,89.59999847,0
23-May-2018 20:24:32.554,13.92362309,127.40000153,975,0.0067421,88.23529053,89.59999847,0
23-May-2018 20:24:33.558,13.92362309,129.19999695,975,0.00653292,88.23529053,89.59999847,0
23-May-2018 20:24:34.555,13.92362309,129.19999695,975,0.00653292,88.23529053,89.59999847,0
23-May-2018 20:24:35.554,13.92362309,131,962.5,0.00643069,88.23529053,89.59999847,0
23-May-2018 20:24:36.554,13.92362309,131,962.5,0.00643069,88.23529053,89.59999847,0
23-May-2018 20:24:37.555,13.92362309,131,962.5,0.00679122,88.23529053,89.59999847,0
23-May-2018 20:24:38.554,13.92362309,131,937.5,0.00679122,88.23529053,89.59999847,0
23-May-2018 20:24:39.554,13.92362309,131,937.5,0.00679122,88.23529053,89.59999847,0
23-May-2018 20:24:40.554,13.92362309,131,737.5,0.00653298,88.23529053,89.59999847,0
23-May-2018 20:24:41.555,13.92362309,132.80000305,737.5,0.00653298,88.23529053,89.59999847,0
23-May-2018 20:24:42.555,13.92362309,132.80000305,975,0.0089978,88.23529053,89.59999847,2.48548484
23-May-2018 20:24:43.554,13.92362309,132.80000305,1012.5,0.00927602,88.23529053,89.59999847,2.48548484
23-May-2018 20:24:44.554,13.92362309,132.80000305,1012.5,0.00927602,88.23529053,89.59999847,3.72822714
23-May-2018 20:24:45.554,13.92362309,132.80000305,1000,0.01130184,88.62744904,89.59999847,4.97096968
23-May-2018 20:24:46.554,13.92362309,132.80000305,1000,0.01130184,89.01960754,89.59999847,4.97096968
23-May-2018 20:24:47.554,13.92362309,134.6000061,937.5,0.00744057,89.01960754,89.59999847,4.97096968
23-May-2018 20:24:48.554,13.92362309,134.6000061,937.5,0.00650038,89.41176605,89.59999847,4.97096968
23-May-2018 20:24:49.554,13.92362309,134.6000061,825,0.00650038,89.41176605,89.59999847,3.72822714
23-May-2018 20:24:50.555,13.92362309,134.6000061,825,0.00687811,89.41176605,89.59999847,3.72822714
23-May-2018 20:24:51.555,13.92362309,134.6000061,725,0.00687811,89.41176605,89.59999847,1.24274242
23-May-2018 20:24:52.554,13.92362309,134.6000061,712.5,0.00675838,89.41176605,89.59999847,0
23-May-2018 20:24:53.554,13.92362309,134.6000061,712.5,0.00675838,89.41176605,89.59999847,0
23-May-2018 20:24:54.554,13.92362309,136.3999939,712.5,0.00623918,89.41176605,89.59999847,0
23-May-2018 20:24:55.554,13.92362309,136.3999939,712.5,0.00637289,89.41176605,89.59999847,0
23-May-2018 20:24:56.554,13.92362309,136.3999939,737.5,0.00637289,89.41176605,89.59999847,0
23-May-2018 20:24:57.555,13.92362309,136.3999939,825,0.00685861,89.41176605,89.59999847,0
23-May-2018 20:24:58.555,13.92362309,136.3999939,825,0.00685861,89.41176605,89.59999847,1.24274242
23-May-2018 20:24:59.554,13.92362309,136.3999939,825,0.00685861,89.41176605,89.59999847,1.24274242
23-May-2018 20:25:00.554,13.92362309,136.3999939,825,0.00685861,89.41176605,89.59999847,1.24274242
23-May-2018 20:25:01.555,13.92362309,138.19999695,1237.5,0.01879023,89.41176605,89.59999847,4.97096968
23-May-2018 20:25:02.555,13.92362309,138.19999695,1237.5,0.01879023,89.41176605,87.80000305,4.97096968
23-May-2018 20:25:03.553,13.92362309,138.19999695,1250,0.01368533,89.41176605,87.80000305,9.94193935
23-May-2018 20:25:04.554,13.92362309,138.19999695,1250,0.01368533,89.41176605,87.80000305,9.94193935
23-May-2018 20:25:05.554,13.92362309,138.19999695,1075,0.00659257,89.01960754,87.80000305,11.18468189
23-May-2018 20:25:06.554,13.92362309,138.19999695,1075,0.00659257,89.01960754,87.80000305,11.18468189
23-May-2018 20:25:07.554,13.92362309,138.19999695,975,0.00572929,89.01960754,87.80000305,11.18468189
23-May-2018 20:25:08.555,13.92362309,138.19999695,975,0.00572929,89.01960754,87.80000305,9.94193935
23-May-2018 20:25:09.554,13.92362309,140,912.5,0.00565203,89.01960754,87.80000305,9.94193935
