Device Time, G(x), G(y), G(z), G(calibrated), AC,Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
07-Jun-2018 17:15:11.337,-1.2,7.81,5.48,-0.01,0,-0,-0,-0.01,-,14.36,0,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:12.321,-1.12,7.91,5.69,0.01,0,-0.01,0,0.02,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:13.323,-1.13,7.83,5.62,-0.02,0,0.01,0,-0,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:14.321,-1.27,7.71,5.54,-0.01,0,-0.01,-0.01,-0.01,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:15.322,-1.14,7.88,5.81,0.01,0,0.01,0,0.02,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:16.323,-1.38,7.7,5.64,-0.01,0,-0.02,-0.01,0,-,14.36,0,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:17.322,-1.44,7.81,5.52,-0.01,0,-0.02,-0,-0.01,-,14.36,0,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:18.323,-1.43,7.81,5.91,-0.01,0,-0,0,-0.02,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:19.324,-1.33,7.78,5.87,-0,0,0,-0.02,0.03,-,14.36,1,1,132.8,925,-,31.37,492.25,78.44,33.02,-117.1,96.8,0
07-Jun-2018 17:15:20.323,-1.06,7.67,5.37,-0.03,0,-0.03,-0,0.01,-,14.36,0,1,132.8,925,-,31.37,482.94,27.91,33.02,-117.1,96.8,0
07-Jun-2018 17:15:21.325,-1.37,7.83,5.01,-0.01,0,-0.02,0,-0.06,-,14.36,0,1,132.8,925,-,31.37,479.35,32.09,33.02,-117.1,96.8,0
07-Jun-2018 17:15:22.322,-1.2,7.27,5.86,-0.03,0,0,-0.06,0.02,-,14.36,1,1,132.8,925,-,31.37,477.48,40.79,33.02,-117.1,96.8,0
07-Jun-2018 17:15:23.322,-1.47,7.36,5.92,-0.02,0,-0.03,-0.05,0.03,-,14.36,0,1,132.8,925,-,31.37,476.98,14.69,33.02,-117.1,96.8,0
