Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 13:18:17.924,-1.41,6.91,6.43,-0.15,-,-0.07,-0.15,-0.07,-,13.92,-,-,-,1275,0,91.37,-,142.36,-,-,-,-,0,-
09-Jun-2018 13:18:18.920,-1.41,6.91,6.43,-0.15,-,-0.07,-0.15,-0.07,-,13.92,-,-,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:19.920,-1.41,6.91,6.43,-0.15,-,-0.07,-0.15,-0.07,-,13.92,-,-,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:20.922,-1.54,7.33,5.89,-0.15,-,-0.06,-0.1,-0.12,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:21.921,-1.38,7.42,5.88,-0.14,-,-0.07,-0.1,-0.12,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:22.922,-1.29,7.43,6.12,-0.13,-,-0.07,-0.1,-0.11,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:23.922,-1.29,7.39,6.1,-0.14,-,-0.06,-0.09,-0.12,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:24.921,-1.32,7.38,5.88,-0.15,-,-0.06,-0.1,-0.11,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:25.921,-1.36,7.46,6.02,-0.13,-,-0.06,-0.1,-0.11,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
09-Jun-2018 13:18:26.921,-1.41,7.84,5.94,-0.19,-,-0.07,-0.06,-0.12,-,13.92,1,1,122,1275,0,91.37,-,142.36,-,-,111.2,-,0,-
