Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 16:19:09.266,-0.54,7.7,5.64,-0.01,-,0.03,-0.06,0.09,-,13.92,-,-,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:10.264,-0.57,7.76,5.62,-0,-,0.02,-0.05,0.09,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:11.265,-0.51,7.81,5.56,-0,-,0.03,-0.04,0.09,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:12.266,-0.55,7.76,5.61,-0,-,0.03,-0.05,0.09,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:13.265,-0.55,7.68,5.71,-0,-,0.04,-0.07,0.09,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:14.265,-0.57,7.64,5.62,-0.01,-,0.03,-0.07,0.08,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:15.267,-0.57,7.67,5.62,-0.01,-,0.03,-0.07,0.08,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:16.266,-0.11,7.98,5.98,0.02,-,0.08,-0.03,0.12,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:17.265,-0.47,7.78,5.51,-0.01,-,0,-0.07,0.02,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:18.264,-0.57,7.63,5.78,-0,-,0.02,-0.04,0.06,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:19.264,-0.37,7.79,5.53,-0.01,-,0.02,-0.05,0.08,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:20.267,-0.47,7.81,5.83,-0,-,0.04,-0.05,0.08,-,13.92,0,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:21.267,-0.54,7.68,5.5,-0.02,-,0.03,-0.04,0.1,-,13.92,1,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:22.265,-0.67,7.78,5.71,-0,-,0.02,-0.05,0.09,-,13.92,1,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:23.267,-0.48,7.65,5.58,-0.02,-,0.04,-0.07,0.08,-,13.92,1,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
09-Jun-2018 16:19:24.264,-0.59,7.69,5.62,-0.01,-,0.03,-0.06,0.08,-,13.92,1,1,-,700,0.02,90.59,-,322.04,-,-,-,-,0,-
