Device Time, Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
22-May-2018 06:59:49.838,13.92362309,134.6000061,912.5,-,18.8235302,68,0
22-May-2018 06:59:50.835,13.92362309,134.6000061,900,-,18.8235302,68,0
22-May-2018 06:59:51.834,13.92362309,134.6000061,900,-,18.8235302,68,0
22-May-2018 06:59:52.835,13.92362309,134.6000061,887.5,-,18.8235302,68,0
22-May-2018 06:59:53.835,13.92362309,134.6000061,887.5,-,18.8235302,68,0
22-May-2018 06:59:54.834,13.92362309,134.6000061,900,0.00584863,18.8235302,68,0
22-May-2018 06:59:55.846,13.92362309,134.6000061,900,0.00584863,18.8235302,68,0
22-May-2018 06:59:56.835,13.92362309,134.6000061,900,0.00581944,18.8235302,68,0
22-May-2018 06:59:57.834,13.92362309,134.6000061,900,0.00591836,18.8235302,68,0
22-May-2018 06:59:58.835,13.92362309,134.6000061,900,0.00591836,18.8235302,68,0
22-May-2018 06:59:59.834,13.92362309,134.6000061,900,0.00593711,18.8235302,68,0
22-May-2018 07:00:00.839,13.92362309,134.6000061,900,0.00593711,18.8235302,68,0
22-May-2018 07:00:01.835,13.92362309,134.6000061,900,0.00730674,18.8235302,68,0
22-May-2018 07:00:02.837,13.92362309,134.6000061,762.5,0.00631943,18.8235302,68,0
22-May-2018 07:00:03.834,13.92362309,134.6000061,762.5,0.00631943,18.8235302,68,0
22-May-2018 07:00:04.835,13.92362309,134.6000061,787.5,0.00624264,18.8235302,68,0
22-May-2018 07:00:05.835,13.92362309,134.6000061,787.5,0.00612182,18.8235302,68,0
22-May-2018 07:00:06.835,13.92362309,134.6000061,775,0.00612182,18.8235302,68,1.24274242
22-May-2018 07:00:07.836,13.92362309,134.6000061,762.5,0.00618396,18.8235302,68,1.24274242
22-May-2018 07:00:08.837,13.92362309,136.3999939,762.5,0.00614951,18.8235302,68,1.24274242
22-May-2018 07:00:09.835,13.92362309,136.3999939,825,0.00614951,18.8235302,68,2.48548484
22-May-2018 07:00:10.835,13.92362309,136.3999939,862.5,0.00670379,18.8235302,68,2.48548484
22-May-2018 07:00:11.835,13.92362309,136.3999939,862.5,0.00670379,18.8235302,68,2.48548484
22-May-2018 07:00:12.835,13.92362309,136.3999939,900,0.00685416,18.8235302,68,3.72822714
22-May-2018 07:00:13.837,13.92362309,136.3999939,925,0.00699337,18.8235302,68,3.72822714
22-May-2018 07:00:14.835,13.92362309,136.3999939,925,0.00699337,18.8235302,68,3.72822714
22-May-2018 07:00:15.835,13.92362309,136.3999939,937.5,0.00710009,18.8235302,68,3.72822714
22-May-2018 07:00:16.834,13.92362309,136.3999939,937.5,0.00655335,18.43137169,68,3.72822714
22-May-2018 07:00:17.835,13.92362309,136.3999939,700,0.00655335,18.43137169,68,0
22-May-2018 07:00:18.835,13.92362309,136.3999939,712.5,0.00622555,18.43137169,68,0
22-May-2018 07:00:19.835,13.92362309,136.3999939,712.5,0.00622555,18.8235302,68,0
22-May-2018 07:00:20.835,13.92362309,136.3999939,700,0.00597585,18.8235302,68,0
22-May-2018 07:00:21.835,13.92362309,136.3999939,687.5,0.00566729,18.8235302,68,0
22-May-2018 07:00:22.835,13.92362309,136.3999939,687.5,0.00566729,18.8235302,68,0
22-May-2018 07:00:23.834,13.92362309,136.3999939,687.5,0.00547928,18.8235302,68,0
22-May-2018 07:00:24.838,13.92362309,136.3999939,687.5,0.00547928,18.8235302,68,0
22-May-2018 07:00:25.835,13.92362309,136.3999939,675,0.0052571,18.8235302,68,0
22-May-2018 07:00:26.837,13.92362309,138.19999695,675,0.00604262,18.8235302,68,0
22-May-2018 07:00:27.837,13.92362309,138.19999695,925,0.00604262,18.8235302,68,0
22-May-2018 07:00:28.836,13.92362309,138.19999695,887.5,0.00586468,18.8235302,68,0
22-May-2018 07:00:29.835,13.92362309,138.19999695,887.5,0.00589547,18.8235302,68,0
