Device Time, G(x), G(y), G(z), G(calibrated), 100-0kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Brake switch 5(bite),Closed throttle(bite),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (GPS)(mph),Speed (OBD)(mph),AC
09-Jun-2018 13:45:01.338,-0.48,7.66,5.69,-0.04,-,0.01,-0.05,0.04,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:02.342,-1.07,8.21,6.11,-0.02,-,-0.01,-0.05,0,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:03.337,-0.3,7.88,5.43,-0.03,-,0.05,-0.04,0.01,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:04.337,-1.82,6.99,5.01,-0.06,-,-0.11,-0.13,-0.04,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:05.335,-0.76,8.11,5,-0.04,-,0,-0.02,-0.04,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:06.335,-0.5,8.09,5.34,-0.02,-,0.03,-0.02,-0,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:07.335,-0.7,8.04,4.93,-0.03,-,0.03,-0.01,-0.02,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:08.346,-0.7,8.14,5.12,-0.03,-,0.01,0,-0.03,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
09-Jun-2018 13:45:09.346,-0.4,8.17,5.42,-0.03,-,0.01,-0.02,-0.04,-,13.92,1,1,-,1275,0,91.37,1349.19,146.3,33.04,-116.86,-,0,0,-
