Device Time, Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
23-May-2018 08:00:40.594,14.35873604,-,912.5,0.00580128,100,-,-
23-May-2018 08:00:41.594,14.35873604,194,875,0.00580128,100,-,7.45645428
23-May-2018 08:00:42.594,14.35873604,194,875,0.00580128,100,73.40000153,7.45645428
23-May-2018 08:00:43.594,14.35873604,194,750,0.00580128,100,73.40000153,2.48548484
23-May-2018 08:00:44.593,14.35873604,194,750,0.00580128,100,73.40000153,2.48548484
23-May-2018 08:00:45.594,14.35873604,194,675,0.00580128,100,73.40000153,2.48548484
23-May-2018 08:00:46.594,14.35873604,194,675,0.00580128,100,73.40000153,0
23-May-2018 08:00:47.594,14.35873604,194,662.5,0.00495179,100,73.40000153,0
23-May-2018 08:00:48.594,14.35873604,194,662.5,0.00495179,100,73.40000153,0
23-May-2018 08:00:49.594,14.35873604,194,675,0.00472102,100,73.40000153,0
23-May-2018 08:00:50.594,14.35873604,194,637.5,0.00450826,100,73.40000153,0
23-May-2018 08:00:51.594,14.35873604,195.80000305,637.5,0.00450826,100,73.40000153,0
23-May-2018 08:00:52.595,14.35873604,195.80000305,612.5,0.00406518,100,73.40000153,0
23-May-2018 08:00:53.595,14.35873604,195.80000305,612.5,0.00389367,100,73.40000153,0
23-May-2018 08:00:54.594,14.35873604,195.80000305,612.5,0.00389367,100,73.40000153,0
23-May-2018 08:00:55.595,14.35873604,195.80000305,600,0.00379178,100,73.40000153,0
23-May-2018 08:00:56.595,14.35873604,195.80000305,600,0.00383108,100,73.40000153,0
23-May-2018 08:00:57.594,14.35873604,195.80000305,600,0.00383108,100,73.40000153,0
23-May-2018 08:00:58.595,14.35873604,195.80000305,600,0.00374252,100,73.40000153,0
23-May-2018 08:00:59.595,14.35873604,195.80000305,600,0.0038349,100,73.40000153,0
23-May-2018 08:01:00.594,14.35873604,195.80000305,612.5,0.0038349,100,73.40000153,0
23-May-2018 08:01:01.594,14.35873604,195.80000305,600,0.00382346,100,73.40000153,0
23-May-2018 08:01:02.595,14.35873604,195.80000305,600,0.00424015,100,73.40000153,0
23-May-2018 08:01:03.594,14.35873604,195.80000305,625,0.00424015,100,73.40000153,0
23-May-2018 08:01:04.594,14.35873604,195.80000305,625,0.0038167,100,73.40000153,0
23-May-2018 08:01:05.594,14.35873604,195.80000305,625,0.00391607,100,73.40000153,0
23-May-2018 08:01:06.594,14.35873604,195.80000305,612.5,0.00391607,100,73.40000153,0
23-May-2018 08:01:07.594,14.35873604,195.80000305,612.5,0.00386288,100,73.40000153,0
23-May-2018 08:01:08.594,14.35873604,195.80000305,612.5,0.00386953,100,73.40000153,0
23-May-2018 08:01:09.594,14.35873604,195.80000305,612.5,0.00386953,100,73.40000153,0
23-May-2018 08:01:10.594,14.35873604,195.80000305,612.5,0.00382602,100,73.40000153,0
23-May-2018 08:01:11.594,14.35873604,195.80000305,612.5,0.00395463,100,73.40000153,0
23-May-2018 08:01:12.594,14.35873604,195.80000305,600,0.00395463,100,73.40000153,0
23-May-2018 08:01:13.594,14.35873604,195.80000305,600,0.00391032,100,73.40000153,0
23-May-2018 08:01:14.594,14.35873604,195.80000305,600,0.00391032,100,73.40000153,0
23-May-2018 08:01:15.595,14.35873604,195.80000305,612.5,0.00383485,100,73.40000153,0
23-May-2018 08:01:16.594,14.35873604,195.80000305,612.5,0.00368595,100,73.40000153,0
23-May-2018 08:01:17.595,14.35873604,195.80000305,612.5,0.00368595,100,75.19999695,0
23-May-2018 08:01:18.594,14.35873604,195.80000305,600,0.00379813,100,75.19999695,0
23-May-2018 08:01:19.595,14.35873604,195.80000305,600,0.00369692,100,75.19999695,0
23-May-2018 08:01:20.594,14.35873604,195.80000305,600,0.00369692,100,75.19999695,0
23-May-2018 08:01:21.595,14.35873604,195.80000305,600,0.00386224,100,75.19999695,0
23-May-2018 08:01:22.594,14.35873604,195.80000305,600,0.00386224,100,75.19999695,0
23-May-2018 08:01:23.594,14.35873604,195.80000305,600,0.00386029,100,75.19999695,0
23-May-2018 08:01:24.594,14.35873604,195.80000305,600,0.00379813,100,75.19999695,0
23-May-2018 08:01:25.594,14.35873604,195.80000305,600,0.00379813,100,75.19999695,0
23-May-2018 08:01:26.595,14.35873604,195.80000305,600,0.00370337,100,75.19999695,0
23-May-2018 08:01:27.594,14.35873604,195.80000305,600,0.0036825,100,75.19999695,0
23-May-2018 08:01:28.594,14.35873604,195.80000305,600,0.0036825,100,75.19999695,0
23-May-2018 08:01:29.594,14.35873604,195.80000305,600,0.00388772,100,75.19999695,0
23-May-2018 08:01:30.594,14.35873604,195.80000305,600,0.00388772,100,75.19999695,0
23-May-2018 08:01:31.594,14.35873604,195.80000305,600,0.00377526,100,75.19999695,0
23-May-2018 08:01:32.594,14.35873604,195.80000305,600,0.00385089,100,75.19999695,0
23-May-2018 08:01:33.594,14.35873604,195.80000305,600,0.00385089,100,75.19999695,0
23-May-2018 08:01:34.593,14.35873604,195.80000305,600,0.00372503,100,75.19999695,0
23-May-2018 08:01:35.594,14.35873604,195.80000305,600,0.00379813,100,75.19999695,0
23-May-2018 08:01:36.594,14.35873604,195.80000305,600,0.00379813,100,75.19999695,0
23-May-2018 08:01:37.594,14.35873604,195.80000305,600,0.00367646,100,75.19999695,0
23-May-2018 08:01:38.594,14.35873604,195.80000305,600,0.00387425,100,75.19999695,0
23-May-2018 08:01:39.594,14.35873604,195.80000305,600,0.00387425,100,75.19999695,0
23-May-2018 08:01:40.594,14.35873604,195.80000305,600,0.00387484,100,75.19999695,0
23-May-2018 08:01:41.598,14.35873604,195.80000305,600,0.00371846,100,75.19999695,0
23-May-2018 08:01:42.594,14.35873604,195.80000305,600,0.00371846,100,75.19999695,0
23-May-2018 08:01:43.595,14.35873604,195.80000305,600,0.00378376,100,75.19999695,0
23-May-2018 08:01:44.594,14.35873604,195.80000305,600,0.00386271,100,75.19999695,0
23-May-2018 08:01:45.594,14.35873604,195.80000305,600,0.00386271,100,75.19999695,0
23-May-2018 08:01:46.594,14.35873604,197.6000061,600,0.00377377,100,75.19999695,0
23-May-2018 08:01:47.593,14.35873604,197.6000061,600,0.00377377,100,75.19999695,0
23-May-2018 08:01:48.594,14.35873604,197.6000061,600,0.00381462,100,75.19999695,0
23-May-2018 08:01:49.594,14.35873604,197.6000061,600,0.00377377,100,75.19999695,0
23-May-2018 08:01:50.593,14.35873604,197.6000061,600,0.00377377,100,75.19999695,0
23-May-2018 08:01:51.594,14.35873604,197.6000061,600,0.00385755,100,75.19999695,0
23-May-2018 08:01:52.594,14.35873604,197.6000061,600,0.00385755,100,75.19999695,0
23-May-2018 08:01:53.594,14.35873604,197.6000061,600,0.00388432,100,75.19999695,0
23-May-2018 08:01:54.593,14.35873604,197.6000061,600,0.00388432,100,75.19999695,0
23-May-2018 08:01:55.593,14.35873604,197.6000061,600,0.00376458,100,75.19999695,0
23-May-2018 08:01:56.593,14.35873604,197.6000061,600,0.00388244,100,77,0
23-May-2018 08:01:57.594,14.35873604,197.6000061,600,0.00388244,100,77,0
23-May-2018 08:01:58.594,14.35873604,197.6000061,600,0.00373891,100,77,0
23-May-2018 08:01:59.594,14.35873604,197.6000061,600,0.00373891,100,77,0
23-May-2018 08:02:00.594,14.35873604,197.6000061,600,0.00390557,100,77,0
23-May-2018 08:02:01.593,14.35873604,199.3999939,600,0.00384749,100,77,0
23-May-2018 08:02:02.593,14.35873604,199.3999939,600,0.00384749,100,77,0
23-May-2018 08:02:03.593,14.35873604,199.3999939,600,0.00371361,100,77,0
23-May-2018 08:02:04.593,14.35873604,199.3999939,600,0.00371361,100,77,0
23-May-2018 08:02:05.594,14.35873604,199.3999939,600,0.00370906,100,77,0
23-May-2018 08:02:06.594,14.35873604,199.3999939,600,0.0037459,100,77,0
23-May-2018 08:02:07.593,14.35873604,199.3999939,600,0.0037459,100,77,0
23-May-2018 08:02:08.594,14.35873604,199.3999939,600,0.00390999,100,77,0
23-May-2018 08:02:09.594,14.35873604,199.3999939,600,0.00390999,100,77,0
23-May-2018 08:02:10.594,14.35873604,199.3999939,600,0.00370906,100,77,0
23-May-2018 08:02:11.595,14.35873604,199.3999939,600,0.00370906,100,77,0
23-May-2018 08:02:12.594,14.35873604,199.3999939,600,0.00388171,100,77,0
23-May-2018 08:02:13.598,14.35873604,199.3999939,600,0.00388432,100,77,0
23-May-2018 08:02:14.593,14.35873604,199.3999939,600,0.00388432,100,77,0
23-May-2018 08:02:15.593,14.35873604,199.3999939,600,0.00374827,100,77,0
23-May-2018 08:02:16.594,14.35873604,199.3999939,600,0.00374827,100,77,0
23-May-2018 08:02:17.594,14.35873604,201.19999695,587.5,0.00384479,100,77,0
23-May-2018 08:02:18.594,14.35873604,201.19999695,587.5,0.00384479,100,77,0
23-May-2018 08:02:19.594,14.35873604,201.19999695,600,0.00373218,100,77,0
23-May-2018 08:02:20.594,14.35873604,201.19999695,587.5,0.00380117,100,77,0
23-May-2018 08:02:21.594,14.35873604,201.19999695,587.5,0.00380117,100,77,0
23-May-2018 08:02:22.594,14.35873604,201.19999695,600,0.00376689,100,77,0
23-May-2018 08:02:23.594,14.35873604,201.19999695,600,0.00376689,100,77,0
23-May-2018 08:02:24.594,14.35873604,201.19999695,600,0.00370453,100,77,0
23-May-2018 08:02:25.593,14.35873604,201.19999695,600,0.00380117,100,77,0
23-May-2018 08:02:26.594,14.35873604,201.19999695,600,0.00380117,100,77,0
23-May-2018 08:02:27.594,14.35873604,201.19999695,600,0.00387697,100,77,0
23-May-2018 08:02:28.594,14.35873604,201.19999695,600,0.00387697,100,77,0
23-May-2018 08:02:29.594,14.35873604,201.19999695,587.5,0.00369539,100,77,0
23-May-2018 08:02:30.594,14.35873604,201.19999695,587.5,0.00383128,100,77,0
23-May-2018 08:02:31.593,14.35873604,201.19999695,600,0.00383128,100,77,0
23-May-2018 08:02:32.595,14.35873604,201.19999695,600,0.00385406,100,77,0
23-May-2018 08:02:33.594,14.35873604,201.19999695,600,0.00385406,100,77,0
23-May-2018 08:02:34.595,14.35873604,201.19999695,600,0.00378045,100,77,0
23-May-2018 08:02:35.594,14.35873604,203,600,0.00385406,100,77,0
23-May-2018 08:02:36.594,14.35873604,203,600,0.00385406,100,77,0
23-May-2018 08:02:37.593,14.35873604,203,600,0.00371145,100,77,0
23-May-2018 08:02:38.594,14.35873604,203,600,0.00371145,100,78.80000305,0
23-May-2018 08:02:39.594,14.35873604,203,600,0.00387484,100,78.80000305,0
23-May-2018 08:02:40.594,14.35873604,203,600,0.00387484,100,78.80000305,0
23-May-2018 08:02:41.594,14.35873604,203,600,0.00376896,100,78.80000305,0
23-May-2018 08:02:42.593,14.35873604,203,600,0.00370953,100,78.80000305,0
23-May-2018 08:02:43.594,14.35873604,203,600,0.00370953,100,78.80000305,0
23-May-2018 08:02:44.594,14.35873604,203,600,0.00386088,100,78.80000305,0
23-May-2018 08:02:45.595,14.35873604,203,600,0.00386088,100,78.80000305,0
23-May-2018 08:02:46.594,14.35873604,203,600,0.00385606,100,78.80000305,0
23-May-2018 08:02:47.594,14.35873604,203,600,0.00371146,100,78.80000305,0
23-May-2018 08:02:48.593,14.35873604,203,600,0.00371146,100,78.80000305,0
23-May-2018 08:02:49.594,14.35873604,203,600,0.00389306,100,78.80000305,0
23-May-2018 08:02:50.594,14.35873604,203,600,0.00389306,100,78.80000305,0
23-May-2018 08:02:51.604,14.35873604,203,600,0.00386741,100,78.80000305,0
23-May-2018 08:02:52.595,14.35873604,203,600,0.00371406,100,78.80000305,0
23-May-2018 08:02:53.594,14.35873604,203,600,0.00371406,100,78.80000305,0
