Device Time, G(x),GPS Latitude(°),GPS Longitude(°)
6/4/2018 6:01 AM,0.78,,
6/4/2018 6:01 AM,0.57,,
6/4/2018 6:01 AM,-0.2,,
6/4/2018 6:01 AM,-1.1,,
6/4/2018 6:01 AM,-1.63,,
6/4/2018 6:01 AM,-1.6,,
6/4/2018 6:01 AM,-1.66,,
6/4/2018 6:01 AM,-1.7,,
6/4/2018 6:01 AM,-3.65,,
6/4/2018 6:01 AM,-2.7,,
6/4/2018 6:01 AM,-0.86,,
6/4/2018 6:01 AM,1.04,,
6/4/2018 6:01 AM,2.43,,
6/4/2018 6:01 AM,1.1,,
6/4/2018 6:01 AM,-0.03,,
6/4/2018 6:01 AM,1.18,,
6/4/2018 6:01 AM,0.68,,
6/4/2018 6:01 AM,-5.49,,
6/4/2018 6:01 AM,-0.11,,
6/4/2018 6:01 AM,-0.08,,
6/4/2018 6:01 AM,-0.17,,
6/4/2018 6:01 AM,-0.15,,
6/4/2018 6:01 AM,-0.06,,
6/4/2018 6:01 AM,-0.19,,
6/4/2018 6:01 AM,0.23,,
6/4/2018 6:01 AM,-0.02,,
6/4/2018 6:01 AM,0.23,,
6/4/2018 6:01 AM,-0.01,,
6/4/2018 6:01 AM,0.03,,
6/4/2018 6:01 AM,-0.2,,
6/4/2018 6:01 AM,-0.18,,
6/4/2018 6:01 AM,-0.11,,
6/4/2018 6:01 AM,-0.08,,
6/4/2018 6:01 AM,-0.12,,
6/4/2018 6:01 AM,-0.11,,
6/4/2018 6:01 AM,0.01,,
6/4/2018 6:01 AM,0.11,,
6/4/2018 6:01 AM,0.39,,
6/4/2018 6:01 AM,0.34,,
6/4/2018 6:01 AM,0.24,,
6/4/2018 6:01 AM,0.26,,
6/4/2018 6:01 AM,0.71,,
6/4/2018 6:01 AM,0.48,,
6/4/2018 6:01 AM,0.23,,
6/4/2018 6:01 AM,-0.03,,
6/4/2018 6:01 AM,0.15,,
6/4/2018 6:01 AM,0.49,,
6/4/2018 6:01 AM,0.54,,
6/4/2018 6:01 AM,0.13,,
6/4/2018 6:01 AM,0.51,,
6/4/2018 6:01 AM,0.22,,
6/4/2018 6:01 AM,0.34,,
6/4/2018 6:01 AM,0.34,,
6/4/2018 6:02 AM,-0.17,,
6/4/2018 6:02 AM,0.07,,
6/4/2018 6:02 AM,0.53,,
6/4/2018 6:02 AM,0.22,,
6/4/2018 6:02 AM,-0.19,,
6/4/2018 6:02 AM,-0.08,,
6/4/2018 6:02 AM,-0.21,,
6/4/2018 6:02 AM,0.86,,
6/4/2018 6:02 AM,0.55,,
6/4/2018 6:02 AM,0.27,,
6/4/2018 6:02 AM,0.03,,
6/4/2018 6:02 AM,0.05,,
6/4/2018 6:02 AM,0.18,,
6/4/2018 6:02 AM,0.34,,
6/4/2018 6:02 AM,0.25,,
6/4/2018 6:02 AM,0.12,,
6/4/2018 6:02 AM,0.18,,
6/4/2018 6:02 AM,0.57,,
6/4/2018 6:02 AM,0.08,,
6/4/2018 6:02 AM,0.11,,
6/4/2018 6:02 AM,-0.14,,
6/4/2018 6:02 AM,0.17,,
6/4/2018 6:02 AM,-0.31,,
6/4/2018 6:02 AM,-0.58,,
6/4/2018 6:02 AM,-1.08,,
6/4/2018 6:02 AM,-1.12,,
6/4/2018 6:02 AM,-0.52,,
6/4/2018 6:02 AM,-0.21,,
6/4/2018 6:02 AM,0.23,,
6/4/2018 6:02 AM,0.6,,
6/4/2018 6:02 AM,0.24,,
6/4/2018 6:02 AM,0.23,,
6/4/2018 6:02 AM,0.26,,
6/4/2018 6:02 AM,-0.71,,
6/4/2018 6:02 AM,0.16,,
6/4/2018 6:02 AM,-0.05,,
6/4/2018 6:02 AM,-0.48,,
6/4/2018 6:02 AM,0.12,,
6/4/2018 6:02 AM,0.08,,
6/4/2018 6:02 AM,0.38,,
6/4/2018 6:02 AM,1.01,,
6/4/2018 6:02 AM,-0.16,,
6/4/2018 6:02 AM,-0.99,,
6/4/2018 6:02 AM,0.15,,
6/4/2018 6:02 AM,-0.09,,
6/4/2018 6:02 AM,0.64,,
6/4/2018 6:02 AM,0.84,,
6/4/2018 6:02 AM,-0.37,,
6/4/2018 6:02 AM,-0.16,,
6/4/2018 6:02 AM,-1.05,,
6/4/2018 6:02 AM,-0.89,,
6/4/2018 6:02 AM,-1.14,,
6/4/2018 6:02 AM,-0.93,,
6/4/2018 6:02 AM,-0.64,,
6/4/2018 6:02 AM,-0.12,,
6/4/2018 6:02 AM,-0.3,,
6/4/2018 6:02 AM,1.02,,
6/4/2018 6:02 AM,-0.16,,
6/4/2018 6:02 AM,0.16,,
6/4/2018 6:02 AM,-0.42,,
6/4/2018 6:03 AM,0.25,,
6/4/2018 6:03 AM,-0.09,,
6/4/2018 6:03 AM,-0.59,,
6/4/2018 6:03 AM,-0.2,,
6/4/2018 6:03 AM,-1.2,,
6/4/2018 6:03 AM,0.33,,
6/4/2018 6:03 AM,0.23,,
6/4/2018 6:03 AM,0.11,,
6/4/2018 6:03 AM,-0.35,,
6/4/2018 6:03 AM,-0.17,,
6/4/2018 6:03 AM,-0.9,,
6/4/2018 6:03 AM,0.43,,
6/4/2018 6:03 AM,-0.11,,
6/4/2018 6:03 AM,-0.34,,
6/4/2018 6:03 AM,0.76,,
6/4/2018 6:03 AM,-0.77,,
6/4/2018 6:03 AM,0.45,,
6/4/2018 6:03 AM,-0.73,,
6/4/2018 6:03 AM,-1.15,,
6/4/2018 6:03 AM,-0.5,,
6/4/2018 6:03 AM,-0.27,,
6/4/2018 6:03 AM,-0.13,,
6/4/2018 6:03 AM,0.15,,
6/4/2018 6:03 AM,0.75,,
6/4/2018 6:03 AM,-0.34,,
6/4/2018 6:03 AM,-0.08,,
6/4/2018 6:03 AM,-0.16,,
6/4/2018 6:03 AM,-0.12,,
6/4/2018 6:03 AM,0.67,,
6/4/2018 6:03 AM,-0.27,,
6/4/2018 6:03 AM,-1.24,,
6/4/2018 6:03 AM,-0.07,,
6/4/2018 6:03 AM,-0.4,,
6/4/2018 6:03 AM,-0.71,,
6/4/2018 6:03 AM,-0.19,,
6/4/2018 6:03 AM,-0.03,,
6/4/2018 6:03 AM,-0.23,,
6/4/2018 6:03 AM,0.12,,
6/4/2018 6:03 AM,0.8,,
6/4/2018 6:03 AM,0.69,,
6/4/2018 6:03 AM,0.05,,
6/4/2018 6:03 AM,0.97,,
6/4/2018 6:03 AM,-0.2,,
6/4/2018 6:03 AM,-0.2,,
6/4/2018 6:03 AM,0.24,,
6/4/2018 6:03 AM,-0.25,,
6/4/2018 6:03 AM,-0.07,,
6/4/2018 6:03 AM,-0.21,,
6/4/2018 6:03 AM,0.5,,
6/4/2018 6:03 AM,0.63,,
6/4/2018 6:03 AM,0.17,,
6/4/2018 6:03 AM,0.44,,
6/4/2018 6:03 AM,-0.33,,
6/4/2018 6:03 AM,0.08,,
6/4/2018 6:03 AM,0.32,,
6/4/2018 6:03 AM,0.4,,
6/4/2018 6:03 AM,0.35,,
6/4/2018 6:03 AM,-0.53,,
6/4/2018 6:03 AM,0.02,,
6/4/2018 6:03 AM,-0.02,,
6/4/2018 6:04 AM,0.2,,
6/4/2018 6:04 AM,0.48,,
6/4/2018 6:04 AM,0.02,,
6/4/2018 6:04 AM,-0.15,,
6/4/2018 6:04 AM,0.03,,
6/4/2018 6:04 AM,0.09,,
6/4/2018 6:04 AM,0.28,,
6/4/2018 6:04 AM,-0.49,,
6/4/2018 6:04 AM,-0.08,,
6/4/2018 6:04 AM,0.29,,
6/4/2018 6:04 AM,-0.22,,
6/4/2018 6:04 AM,1.05,,
6/4/2018 6:04 AM,-0.65,,
6/4/2018 6:04 AM,0.73,,
6/4/2018 6:04 AM,0.79,,
6/4/2018 6:04 AM,1.74,,
6/4/2018 6:04 AM,-0.21,,
6/4/2018 6:04 AM,-0.4,,
6/4/2018 6:04 AM,0.65,,
6/4/2018 6:04 AM,-0.79,,
6/4/2018 6:04 AM,-0.71,,
6/4/2018 6:04 AM,-0.89,,
6/4/2018 6:04 AM,-0.38,,
6/4/2018 6:04 AM,-0.88,,
6/4/2018 6:04 AM,0.14,,
6/4/2018 6:04 AM,-0.72,,
6/4/2018 6:04 AM,-0.96,,
6/4/2018 6:04 AM,-0.63,,
6/4/2018 6:04 AM,-0.4,,
6/4/2018 6:04 AM,-0.49,,
6/4/2018 6:04 AM,-0.69,,
6/4/2018 6:04 AM,0.6,,
6/4/2018 6:04 AM,0.06,,
6/4/2018 6:04 AM,-0.12,,
