Device Time, G(x),GPS Latitude(°),GPS Longitude(°)
6/9/2018 8:14 AM,1.1,33.03,-116.86
6/9/2018 8:14 AM,0.97,33.03,-116.86
6/9/2018 8:15 AM,1.34,33.03,-116.86
6/9/2018 8:15 AM,1.23,33.03,-116.86
6/9/2018 8:15 AM,1.06,33.03,-116.86
6/9/2018 8:15 AM,0.85,33.03,-116.86
6/9/2018 8:15 AM,0.79,33.03,-116.86
6/9/2018 8:15 AM,0.1,33.03,-116.86
6/9/2018 8:15 AM,0.8,33.03,-116.86
6/9/2018 8:15 AM,0.76,33.03,-116.86
6/9/2018 8:15 AM,0.65,33.03,-116.86
6/9/2018 8:15 AM,1.24,33.03,-116.86
6/9/2018 8:15 AM,0.81,33.03,-116.86
6/9/2018 8:15 AM,1.33,33.03,-116.86
6/9/2018 8:15 AM,0.43,33.03,-116.86
6/9/2018 8:15 AM,0.37,33.03,-116.86
6/9/2018 8:15 AM,0.14,33.03,-116.86
6/9/2018 8:15 AM,1.47,33.03,-116.86
6/9/2018 8:15 AM,1.73,33.03,-116.86
6/9/2018 8:15 AM,0.59,33.03,-116.86
6/9/2018 8:15 AM,1.06,33.03,-116.86
6/9/2018 8:15 AM,0.82,33.03,-116.86
6/9/2018 8:15 AM,1.19,33.03,-116.86
6/9/2018 8:15 AM,1.09,33.03,-116.86
6/9/2018 8:15 AM,1.05,33.03,-116.86
6/9/2018 8:15 AM,1.4,33.03,-116.86
6/9/2018 8:15 AM,0.73,33.03,-116.86
6/9/2018 8:15 AM,1.09,33.03,-116.86
6/9/2018 8:15 AM,0.99,33.03,-116.86
6/9/2018 8:15 AM,1.37,33.03,-116.86
6/9/2018 8:15 AM,0.57,33.03,-116.86
6/9/2018 8:15 AM,0.65,33.03,-116.86
6/9/2018 8:15 AM,0.94,33.03,-116.86
6/9/2018 8:15 AM,1.08,33.03,-116.86
6/9/2018 8:15 AM,0.36,33.03,-116.86
6/9/2018 8:15 AM,0.66,33.03,-116.86
6/9/2018 8:15 AM,1.02,33.03,-116.86
6/9/2018 8:15 AM,1.15,33.03,-116.86
6/9/2018 8:15 AM,1.44,33.03,-116.87
6/9/2018 8:15 AM,0.37,33.03,-116.87
6/9/2018 8:15 AM,1.49,33.03,-116.87
6/9/2018 8:15 AM,0.95,33.03,-116.87
6/9/2018 8:15 AM,1.23,33.03,-116.87
6/9/2018 8:15 AM,0.68,33.03,-116.87
6/9/2018 8:15 AM,0.9,33.03,-116.87
6/9/2018 8:15 AM,0.87,33.03,-116.87
6/9/2018 8:15 AM,0.67,33.03,-116.87
6/9/2018 8:15 AM,0.91,33.03,-116.87
6/9/2018 8:15 AM,0.77,33.03,-116.87
6/9/2018 8:15 AM,0.72,33.03,-116.87
6/9/2018 8:15 AM,0.89,33.03,-116.87
6/9/2018 8:15 AM,0.8,33.03,-116.87
6/9/2018 8:15 AM,0.67,33.03,-116.87
6/9/2018 8:15 AM,0.5,33.03,-116.87
6/9/2018 8:15 AM,0.82,33.03,-116.87
6/9/2018 8:15 AM,0.16,33.03,-116.87
6/9/2018 8:15 AM,0.67,33.03,-116.87
6/9/2018 8:15 AM,1.65,33.03,-116.87
6/9/2018 8:15 AM,0.16,33.03,-116.87
6/9/2018 8:15 AM,0.82,33.03,-116.87
6/9/2018 8:15 AM,-0.43,33.03,-116.87
6/9/2018 8:15 AM,0.89,33.03,-116.87
6/9/2018 8:16 AM,-0.13,33.04,-116.87
6/9/2018 8:16 AM,-0.47,33.04,-116.87
6/9/2018 8:16 AM,1.02,33.04,-116.87
6/9/2018 8:16 AM,0.85,33.04,-116.87
6/9/2018 8:16 AM,0.7,33.04,-116.87
6/9/2018 8:16 AM,1.62,33.04,-116.87
6/9/2018 8:16 AM,0.27,33.04,-116.87
6/9/2018 8:16 AM,0.8,33.04,-116.87
6/9/2018 8:16 AM,0.66,33.04,-116.87
6/9/2018 8:16 AM,-0.61,33.04,-116.87
6/9/2018 8:16 AM,0.32,33.04,-116.87
6/9/2018 8:16 AM,0.99,33.04,-116.87
6/9/2018 8:16 AM,-0.11,33.04,-116.87
6/9/2018 8:16 AM,0.82,33.04,-116.87
6/9/2018 8:16 AM,-0.2,33.04,-116.87
6/9/2018 8:16 AM,0.1,33.04,-116.87
6/9/2018 8:16 AM,1.83,33.04,-116.87
6/9/2018 8:16 AM,1.12,33.04,-116.87
6/9/2018 8:16 AM,0.82,33.04,-116.87
6/9/2018 8:16 AM,0.29,33.04,-116.87
6/9/2018 8:16 AM,0.63,33.04,-116.87
6/9/2018 8:16 AM,0.95,33.04,-116.87
6/9/2018 8:16 AM,0.42,33.04,-116.87
6/9/2018 8:16 AM,0.48,33.04,-116.87
6/9/2018 8:16 AM,1.05,33.04,-116.87
6/9/2018 8:16 AM,0.09,33.04,-116.87
6/9/2018 8:16 AM,-0.15,33.04,-116.87
6/9/2018 8:16 AM,0.63,33.04,-116.87
6/9/2018 8:16 AM,-0.4,33.04,-116.87
6/9/2018 8:16 AM,0.98,33.04,-116.87
6/9/2018 8:16 AM,1.02,33.04,-116.87
6/9/2018 8:16 AM,0.51,33.04,-116.87
6/9/2018 8:16 AM,0.24,33.04,-116.87
6/9/2018 8:16 AM,-0.7,33.04,-116.87
6/9/2018 8:16 AM,1.21,33.04,-116.87
6/9/2018 8:16 AM,-0.79,33.04,-116.87
6/9/2018 8:16 AM,-0.54,33.04,-116.87
6/9/2018 8:16 AM,1.79,33.04,-116.87
6/9/2018 8:16 AM,0.98,33.04,-116.87
6/9/2018 8:16 AM,2.23,33.04,-116.87
6/9/2018 8:16 AM,-0.64,33.04,-116.87
6/9/2018 8:16 AM,1,33.04,-116.87
6/9/2018 8:16 AM,-0.32,33.04,-116.87
6/9/2018 8:16 AM,0.19,33.04,-116.87
6/9/2018 8:16 AM,0.34,33.04,-116.87
6/9/2018 8:16 AM,0.79,33.04,-116.87
6/9/2018 8:16 AM,0.89,33.04,-116.87
6/9/2018 8:16 AM,-0.13,33.04,-116.87
6/9/2018 8:16 AM,1.57,33.04,-116.87
6/9/2018 8:16 AM,1.7,33.04,-116.87
6/9/2018 8:16 AM,-0.39,33.04,-116.87
6/9/2018 8:16 AM,0.98,33.04,-116.87
6/9/2018 8:16 AM,2.02,33.04,-116.87
6/9/2018 8:16 AM,1.38,33.04,-116.87
6/9/2018 8:16 AM,0.6,33.04,-116.87
6/9/2018 8:16 AM,0.75,33.04,-116.87
