Device Time, G(x),GPS Latitude(°),GPS Longitude(°)
6/4/2018 7:59 AM,-0.78,33.01,-117.09
6/4/2018 7:59 AM,-0.52,33.01,-117.09
6/4/2018 7:59 AM,-0.34,33.01,-117.09
6/4/2018 7:59 AM,-0.54,33.01,-117.09
6/4/2018 7:59 AM,-0.49,33.01,-117.09
6/4/2018 7:59 AM,-1.64,33.01,-117.09
6/4/2018 7:59 AM,0.04,33.01,-117.09
6/4/2018 7:59 AM,0.11,33.01,-117.09
6/4/2018 7:59 AM,0.09,33.01,-117.09
6/4/2018 7:59 AM,-1.39,33.01,-117.09
6/4/2018 7:59 AM,-0.98,33.01,-117.09
6/4/2018 7:59 AM,-0.35,33.01,-117.09
6/4/2018 7:59 AM,-0.35,33.01,-117.09
6/4/2018 7:59 AM,-1.59,33.01,-117.09
6/4/2018 7:59 AM,-1.35,33.01,-117.09
6/4/2018 7:59 AM,-1.57,33.01,-117.09
6/4/2018 7:59 AM,-0.5,33.01,-117.09
6/4/2018 7:59 AM,-0.12,33.01,-117.09
6/4/2018 7:59 AM,-0.6,33.01,-117.09
6/4/2018 7:59 AM,-1.03,33.01,-117.09
6/4/2018 7:59 AM,-0.15,33.01,-117.09
6/4/2018 7:59 AM,0.12,33.01,-117.09
6/4/2018 7:59 AM,-0.8,33.01,-117.09
6/4/2018 7:59 AM,-0.8,33.01,-117.09
6/4/2018 7:59 AM,0.11,33.01,-117.09
6/4/2018 7:59 AM,-1.26,33.01,-117.09
6/4/2018 7:59 AM,-0.15,33.01,-117.09
6/4/2018 7:59 AM,2.6,33.01,-117.09
6/4/2018 7:59 AM,1.24,33.01,-117.09
6/4/2018 7:59 AM,0.55,33.01,-117.09
6/4/2018 7:59 AM,0.27,33.01,-117.09
6/4/2018 7:59 AM,-0.71,33.01,-117.09
6/4/2018 7:59 AM,-0.64,33.01,-117.09
6/4/2018 7:59 AM,-3.81,33.01,-117.09
6/4/2018 8:00 AM,-2.94,33.01,-117.09
6/4/2018 8:00 AM,-0.95,33.01,-117.09
6/4/2018 8:00 AM,-1.23,33.01,-117.09
6/4/2018 8:00 AM,-2.27,33.01,-117.09
6/4/2018 8:00 AM,-0.34,33.01,-117.09
6/4/2018 8:00 AM,-0.21,33.01,-117.09
6/4/2018 8:00 AM,-1.98,33.01,-117.09
6/4/2018 8:00 AM,-1.44,33.01,-117.09
6/4/2018 8:00 AM,-2.5,33.01,-117.09
6/4/2018 8:00 AM,-0.19,33.01,-117.09
6/4/2018 8:00 AM,-0.72,33.01,-117.09
6/4/2018 8:00 AM,-2.2,33.01,-117.09
6/4/2018 8:00 AM,-0.72,33.01,-117.09
6/4/2018 8:00 AM,0.01,33.01,-117.09
6/4/2018 8:00 AM,-0.95,33.01,-117.09
6/4/2018 8:00 AM,-1.78,33.01,-117.09
6/4/2018 8:00 AM,-1.72,33.01,-117.09
6/4/2018 8:00 AM,-0.93,33.01,-117.09
6/4/2018 8:00 AM,-1.98,33.01,-117.09
6/4/2018 8:00 AM,-1.65,33.01,-117.09
6/4/2018 8:00 AM,-1.5,33.01,-117.09
6/4/2018 8:00 AM,-1.29,33.01,-117.09
6/4/2018 8:00 AM,-1,33.01,-117.09
6/4/2018 8:00 AM,-0.8,33.01,-117.09
6/4/2018 8:00 AM,-1.25,33.01,-117.1
6/4/2018 8:00 AM,-1.55,33.01,-117.1
6/4/2018 8:00 AM,-1.62,33.01,-117.1
6/4/2018 8:00 AM,-0.86,33.01,-117.1
6/4/2018 8:00 AM,-1.28,33.01,-117.1
6/4/2018 8:00 AM,-1.93,33.01,-117.1
6/4/2018 8:00 AM,-2.76,33.01,-117.1
6/4/2018 8:00 AM,-2.6,33.01,-117.1
6/4/2018 8:00 AM,-2.68,33.01,-117.1
6/4/2018 8:00 AM,-2.04,33.01,-117.1
6/4/2018 8:00 AM,-2.32,33.01,-117.1
6/4/2018 8:00 AM,-1.81,33.01,-117.1
6/4/2018 8:00 AM,-1.47,33.01,-117.1
6/4/2018 8:00 AM,-2.07,33.01,-117.1
6/4/2018 8:00 AM,-2.49,33.01,-117.1
6/4/2018 8:00 AM,-1.58,33.01,-117.1
6/4/2018 8:00 AM,-1.59,33.01,-117.1
6/4/2018 8:00 AM,-0.91,33.01,-117.1
6/4/2018 8:00 AM,-2.07,33.01,-117.1
6/4/2018 8:00 AM,-2.01,33.01,-117.1
6/4/2018 8:00 AM,-1.98,33.01,-117.1
6/4/2018 8:00 AM,-1.7,33.01,-117.1
6/4/2018 8:00 AM,-2.2,33.01,-117.1
6/4/2018 8:00 AM,-1.59,33.01,-117.1
6/4/2018 8:00 AM,-1.93,33.01,-117.1
6/4/2018 8:00 AM,-1.47,33.01,-117.1
6/4/2018 8:00 AM,-0.86,33.01,-117.1
6/4/2018 8:00 AM,-0.77,33.01,-117.1
6/4/2018 8:00 AM,-0.73,33.01,-117.1
6/4/2018 8:00 AM,-0.45,33.01,-117.1
6/4/2018 8:00 AM,-0.79,33.01,-117.1
6/4/2018 8:00 AM,0.11,33.01,-117.1
6/4/2018 8:00 AM,0.7,33.01,-117.1
6/4/2018 8:00 AM,0.02,33.01,-117.1
6/4/2018 8:00 AM,0.53,33.01,-117.1
6/4/2018 8:00 AM,-1.36,33.01,-117.1
6/4/2018 8:01 AM,-0.31,33.01,-117.1
6/4/2018 8:01 AM,-0.78,33.01,-117.1
6/4/2018 8:01 AM,-1.2,33.01,-117.1
6/4/2018 8:01 AM,-0.88,33.01,-117.1
6/4/2018 8:01 AM,-1.06,33.01,-117.1
6/4/2018 8:01 AM,-0.08,33.01,-117.1
6/4/2018 8:01 AM,-0.95,33.01,-117.1
6/4/2018 8:01 AM,-1.42,33.01,-117.1
6/4/2018 8:01 AM,-0.82,33.01,-117.1
6/4/2018 8:01 AM,-1.1,33.01,-117.1
6/4/2018 8:01 AM,-1.19,33.01,-117.1
6/4/2018 8:01 AM,-0.89,33.01,-117.1
6/4/2018 8:01 AM,-1.76,33.01,-117.1
6/4/2018 8:01 AM,-0.19,33.01,-117.1
6/4/2018 8:01 AM,-1.29,33.01,-117.1
6/4/2018 8:01 AM,-1.24,33.01,-117.1
6/4/2018 8:01 AM,-0.93,33.01,-117.1
6/4/2018 8:01 AM,-1.3,33.01,-117.1
6/4/2018 8:01 AM,-1.1,33.01,-117.1
6/4/2018 8:01 AM,-1.24,33.01,-117.1
6/4/2018 8:01 AM,-1.87,33.01,-117.1
6/4/2018 8:01 AM,-1.43,33.01,-117.1
