Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Intake Air Temperature(°F),Speed (OBD)(mph)
04-Jun-2018 07:59:25.622,-0.78,6.69,6.81,0.01,-0.08,0.68,0.59,-,14.21,194,1400,0,84.71,560.37,114.28,33.01,-117.09,96.8,0
04-Jun-2018 07:59:26.618,-0.52,6.96,6.08,0.01,-0.05,0.71,0.52,-,14.21,194,1400,0,84.71,560.37,114.28,33.01,-117.09,96.8,0
04-Jun-2018 07:59:27.617,-0.34,8,5.08,0,-0.1,0.83,0.39,-,14.21,186.8,1400,0.02,82.35,560.37,114.28,33.01,-117.09,96.8,0
04-Jun-2018 07:59:28.617,-0.54,7.86,5.56,0.02,-0.06,0.82,0.5,-,14.21,186.8,1600,0.02,82.35,559.84,230.53,33.01,-117.09,98.6,3.73
04-Jun-2018 07:59:29.617,-0.49,7.55,6.68,0.07,-0.02,0.71,0.51,-,14.21,186.8,1600,0.02,82.35,557.11,230.67,33.01,-117.09,98.6,3.73
04-Jun-2018 07:59:30.618,-1.64,8.12,6.51,0.11,-0.07,0.77,0.39,-,14.21,186.8,1600,0.02,82.35,553.78,228.32,33.01,-117.09,98.6,3.73
04-Jun-2018 07:59:31.617,0.04,6.76,6.45,-0.04,0.04,0.62,0.41,-,14.21,186.8,1600,0.02,82.35,551.55,231.01,33.01,-117.09,98.6,3.73
04-Jun-2018 07:59:32.618,0.11,6.19,6.89,-0.02,0.01,0.63,0.6,-,14.21,186.8,1600,0.02,82.35,549.82,233.17,33.01,-117.09,98.6,3.73
04-Jun-2018 07:59:33.617,0.09,6.99,6.68,-0,0.01,0.71,0.58,-,14.21,188.6,1125,0.02,81.96,549.92,234.53,33.01,-117.09,98.6,17.4
04-Jun-2018 07:59:34.618,-1.39,6.29,7.19,0.02,-0.14,0.64,0.63,-,14.36,188.6,1125,0.02,81.96,550.28,237.2,33.01,-117.09,96.8,17.4
04-Jun-2018 07:59:35.616,-0.98,6.47,8.49,-0.01,-0.1,0.66,0.76,-,14.36,188.6,1125,0.02,81.96,549.77,239.43,33.01,-117.09,96.8,17.4
04-Jun-2018 07:59:36.616,-0.35,5.27,8.87,0.09,-0.14,0.52,0.72,-,14.36,188.6,1125,0.02,81.96,552.58,237.95,33.01,-117.09,96.8,17.4
04-Jun-2018 07:59:37.617,-0.35,6.22,7.45,0.04,-0.07,0.63,0.62,-,14.36,188.6,1125,0.02,81.96,551.42,239.82,33.01,-117.09,96.8,17.4
04-Jun-2018 07:59:38.618,-1.59,6.64,7.44,0.01,-0.04,0.6,0.61,-,14.36,190.4,1087.5,0,81.96,557.25,240.71,33.01,-117.09,96.8,9.94
04-Jun-2018 07:59:39.618,-1.35,6.76,7.11,0.05,-0.03,0.67,0.49,-,14.36,190.4,1087.5,0,81.96,558.23,241.9,33.01,-117.09,98.6,9.94
